,tpc_num,E_SS,pTo_SS,Th_SS,Eh_SS,E_Arr,p0,AIC_SS,AIC_Arr,AICc_SS,AICc_Arr,LL_SS,LL_Arr,n,LkRatio,X2,p,best_mod,best_mod2,BA_pts,T0,SE_SS,SE_BA
131,221,0.589488673,0.057116535,42.06632743,6.445433854,0.589487579,0.057116826,6.220803588,2.220810526,-33.77919641,14.22081053,0.889598206,0.889594737,4,-3.47E-06,6.94E-06,0.499998265,BA,BA,NA,15,0.012748134,0.012748149
132,224,0.733287611,0.133969789,32.79556673,11.81050979,0.622566163,0.141823662,-19.21394402,-5.271372999,-59.21394402,6.728627001,13.60697201,4.635686499,4,-8.971285512,17.94257102,6.35E-05,BA,BA,NA,15.5,0.001191535,0.018148243
133,226,0.882954261,0.767575729,32,1.485237341,0.587611498,0.800723874,-0.193522562,-0.953977958,-40.19352256,11.04602204,4.096761281,2.476988979,4,-1.619772302,3.239544605,0.098971883,BA,BA,NA,15.5,0.076955644,0.108289763
134,227,0.621377824,0.032463517,55.86647415,0.010660675,0.616227949,0.016650944,-6.135957459,-10.13500671,-46.13595746,1.864993293,7.067978729,7.067503353,4,-0.000475376,0.000950752,0.499762369,BA,BA,NA,16,0.000866251,0.000866782
135,228,1.342525766,0.016208617,25,2.614933979,1.025132278,0.018339533,2.672413765,2.941451062,-37.32758623,14.94145106,2.663793117,0.529274469,4,-2.134518648,4.269037297,0.059150761,BA,BA,NA,10,0.003470968,0.008579631
136,233,1.014069584,0.019902337,35,2.902017194,0.674986474,0.022542827,-1.829067887,1.441706374,-41.82906789,13.44170637,4.914533943,1.279146813,4,-3.63538713,7.270774261,0.013186861,BA,BA,NA,20,0.001620848,0.005109529
137,234,0.34266244,0.073476852,26.21302262,2.405944373,0,0.082930883,-34.2183347,0.435287223,-26.2183347,2.149572937,21.10916735,1.782356387,10,-19.32681096,38.65362192,2.02E-09,SS,SS,NA,11,0.000865252,0.004899373
138,235,0.338011297,0.097039598,26.9852482,3.015252174,0,0.116458797,-32.07622877,1.240526509,-24.07622877,2.954812223,20.03811439,1.379736746,10,-18.65837764,37.31675528,3.94E-09,SS,SS,NA,11,0.001270026,0.007470448
139,237,0.601777826,1.185361817,98.58075168,3.232616891,0.6017769,1.185364047,11.40885477,7.40885477,51.40885477,11.40885477,-1.704427387,-1.704427385,6,2.52E-09,-5.05E-09,0,BA,BA,NA,10,0.811684012,0.811684882
140,238,1.289001064,0.158747403,25,1.696402109,0.634242069,0.228996599,2.024727152,7.55144772,42.02472715,11.55144772,2.987636424,-1.77572386,6,-4.763360284,9.526720568,0.004268437,SS,BA,NA,10,0.071462525,0.14445506
141,239,0.921884138,0.107546426,35,1.950503831,0.740713447,0.124873392,4.922375509,5.338218564,44.92237551,9.338218564,1.538812246,-0.669109282,6,-2.207921528,4.415843055,0.054964448,BA,BA,NA,10,0.051196397,0.086613078
142,241,1.42081076,0.018008556,24,2.830213341,1.005231467,0.019542775,-1.698800624,-0.156942522,-41.69880062,11.84305748,4.849400312,2.078471261,4,-2.770929051,5.541858102,0.031301908,BA,BA,NA,12.5,0.001244684,0.004173907
